ALAMIRO GARRIDO CACERES,UNION DEMOCRATA INDEPENDIENTE,7438401
ALAN VALDO ROLDAN CABRERA,RENOVACION NACIONAL,38007318
ALBAN MANCILLA DIAZ,PARTIDO SOCIALISTA DE CHILE,35216703
ALBERTO ALEJANDRO LOPEZ ENGEL,CENTRO UNIDO,1000000
ALBERTO ANTONIO PAVEZ SOTO,UNION DEMOCRATA INDEPENDIENTE,1000000
ALBERTO ENRIQUE CORTES BUSTAMANTE,RENOVACION NACIONAL,9791069
ALBERTO ENRIQUE JARPA LEIVA,PARTIDO DEMOCRATA CRISTIANO,5464351
ALBERTO GALLARDO FLORES,UNION DEMOCRATA INDEPENDIENTE,8584992
ALBERTO MERINO SANTELICES,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,1368501
ALBERTO MUñOZ SANDOVAL,PARTIDO RADICAL DE CHILE,500000
ALBERTO PIZARRO CHAñILAO,PARTIDO POR LA DEMOCRACIA,21991009
ALBERTO SAMUEL GODOY TORDOYA,N/A,400000
ALBERTO UNDURRAGA VICUñA,PARTIDO DEMOCRATA CRISTIANO,87271075
ALBERTO VELASQUEZ CASTRO,EVOLUCION POLITICA,2467801
ALDO CORTES QUINTANA,PARTIDO SOCIALISTA DE CHILE,6322669
ALDO MARDONES ALARCON,PARTIDO DEMOCRATA CRISTIANO,42512544
ALEJANDRA AHUMADA CORVALAN,FEDERACION REGIONALISTA VERDE SOCIAL,5840000
ALEJANDRA AILLAPAN HUIRIQUEO,PARTIDO HUMANISTA,2819700
ALEJANDRA AURORA BARTSCH CARVALLO,PARTIDO SOCIALISTA DE CHILE,14930404
ALEJANDRA CARREñO PEREZ,PARTIDO DE LA GENTE,3332028
ALEJANDRA CARROZA LLANCALAHUEN,PARTIDO ECOLOGISTA VERDE,3498481
ALEJANDRA DEL ROSARIO PEREZ MUñOZ,PARTIDO COMUNISTA DE CHILE,2149920
ALEJANDRA ESTER MUñOZ ORELLANA,CENTRO UNIDO,4654826
ALEJANDRA ESTER OLIVARES ZAMORA,COMUNES,512000
ALEJANDRA EVELYN APABLAZA ELIZONDO,PARTIDO REPUBLICANO DE CHILE,242156
ALEJANDRA FRANCISCA PLACENCIA CABELLO,PARTIDO COMUNISTA DE CHILE,39037063
ALEJANDRA HERRERA ANDREUCCI,CENTRO UNIDO,8678650
ALEJANDRA HIDALGO GOMEZ,PARTIDO DEMOCRATA CRISTIANO,1300000
ALEJANDRA ISABEL BERNIER MUñOZ,UNION DEMOCRATA INDEPENDIENTE,2074519
ALEJANDRA MARJORIE CEBALLOS ROJAS,COMUNES,12141889
ALEJANDRA MOLINA TOBAR,FEDERACION REGIONALISTA VERDE SOCIAL,3720583
ALEJANDRA NOVOA SANDOVAL,RENOVACION NACIONAL,34323329
ALEJANDRA OLIDEN VEGA,UNION DEMOCRATA INDEPENDIENTE,4518445
ALEJANDRA PAMELA JARA QUIROZ,PARTIDO DE LA GENTE,9556807
ALEJANDRA PAOLA MILLAR QUEZADA,PARTIDO HUMANISTA,1564382
ALEJANDRA PAZ DECAP CONTRERAS,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,667966
ALEJANDRA SEPULVEDA ORBENES,FEDERACION REGIONALISTA VERDE SOCIAL,132215241
ALEJANDRA SEPULVEDA TORRES,RENOVACION NACIONAL,35205000
ALEJANDRA SOLANGE NAVARRETE CARRASCO,PARTIDO PROGRESISTA DE CHILE,5700630
ALEJANDRA VALDEBENITO TORRES,UNION DEMOCRATA INDEPENDIENTE,22449200
ALEJANDRA VALDOVINOS JOFRE,UNION DEMOCRATA INDEPENDIENTE,32382578
ALEJANDRA VANESSA MARIN GALINDO,PARTIDO CONSERVADOR CRISTIANO,307832
ALEJANDRA VIVIANA BUSTAMANTE NEIRA,PARTIDO DEMOCRATA CRISTIANO,19225182
ALEJANDRO AGUSTIN MUñOZ AVALOS,UNION DEMOCRATA INDEPENDIENTE,6070000
ALEJANDRO ALBERCIO JELDRES MORALES,UNION PATRIOTICA,933000
ALEJANDRO ANDRES GONZALEZ PEREZ,IGUALDAD,755850
ALEJANDRO ANTONIO TOLOZA SANDOVAL,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,1332000
ALEJANDRO AREVALO MIRANDA,PARTIDO ECOLOGISTA VERDE,507000
ALEJANDRO BELTRAN ULLOA,PARTIDO DEMOCRATA CRISTIANO,3280000
ALEJANDRO CARTES AROCA,PARTIDO SOCIALISTA DE CHILE,2907305
ALEJANDRO CHRISTIAN OLGUIN LOPEZ,RENOVACION NACIONAL,1620000
ALEJANDRO COMMENTZ CARRASCO,EVOLUCION POLITICA,6700390
ALEJANDRO DIAZ CARVAJAL,PARTIDO SOCIALISTA DE CHILE,7650000
ALEJANDRO ENRIQUE SANCHEZ FUENZALIDA,RENOVACION NACIONAL,2153250
ALEJANDRO ESTEBAN OVALLE CONTRERAS,UNION PATRIOTICA,2430400
ALEJANDRO FUENTES INOSTROZA,EVOLUCION POLITICA,1016400
ALEJANDRO GABRIEL RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,2502000
ALEJANDRO GONZALEZ PEREZ,PARTIDO PROGRESISTA DE CHILE,5421522
ALEJANDRO HERNANDEZ AEDO,N/A,1721469
ALEJANDRO HERNANDEZ QUINTEROS,PARTIDO HUMANISTA,810000
ALEJANDRO IVAN ESCOBAR LOBOS,PARTIDO HUMANISTA,29031017
ALEJANDRO JAVIER BERNALES MALDONADO,PARTIDO LIBERAL DE CHILE,65847550
ALEJANDRO JUAN KUSANOVIC GLUSEVIC,RENOVACION NACIONAL,46165404
ALEJANDRO MARCELO MONTT COLLAO,PARTIDO DEMOCRATA CRISTIANO,8333077
ALEJANDRO MELLADO MUñOZ,EVOLUCION POLITICA,385600
ALEJANDRO MIHOVILOVICH GRATZ,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,1271794
ALEJANDRO MONDACA CAAMAñO,PARTIDO POR LA DEMOCRACIA,5394000
ALEJANDRO MONSALVE ESTRADA,UNION DEMOCRATA INDEPENDIENTE,800000
ALEJANDRO ORTIZ NOVOA,PARTIDO RADICAL DE CHILE,4367025
ALEJANDRO OSCAR PIZARRO LOPEZ,FEDERACION REGIONALISTA VERDE SOCIAL,2683478
ALEJANDRO PEREZ OPORTUS,PARTIDO SOCIALISTA DE CHILE,6069680
ALEJANDRO PUJA CAMPOS,EVOLUCION POLITICA,300000
ALEJANDRO RODRIGO CIFUENTES MANCILLA,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,201990
ALEJANDRO ROGERS BOZZOLO,PARTIDO REPUBLICANO DE CHILE,4240000
ALEJANDRO SANTANA TIRACHINI,RENOVACION NACIONAL,97873933
ALEJANDRO SEBASTIAN JEREZ PAZ,PARTIDO SOCIALISTA DE CHILE,4537010
ALENA MARIA GUTIERREZ MORENO,CONVERGENCIA SOCIAL,13816970
ALEX ALBERTO AHUMADA MONROY,RENOVACION NACIONAL,3054939
ALEX ANDRES BECERRA ESPINOZA,PARTIDO DEMOCRATA CRISTIANO,800000
ALEX BERNHART KLAGGES VERDUGO,PARTIDO DE LA GENTE,1750467
ALEX FARIAS PEREZ,PARTIDO DE LA GENTE,6090083
ALEX FERNANDO GARRIDO TAPIA,COMUNES,22031853
ALEX GUSEPPE MENDOZA RODRIGUEZ,PARTIDO DEMOCRATA CRISTIANO,3593000
ALEX GUZMAN AHENGO,UNION DEMOCRATA INDEPENDIENTE,2200000
ALEX MARCELO VEGA AGUAYO,PARTIDO DE LA GENTE,320175
ALEX MONTES OLAVE,PARTIDO ECOLOGISTA VERDE,1769598
ALEX ORLANDO BRUCHER HERMOSILLA,PARTIDO REPUBLICANO DE CHILE,2795981
ALEX PREBISTERIO HERNANDEZ GUZMAN,REVOLUCION DEMOCRATICA,1798531
ALEX RAUL RAMIREZ ORTIZ,PARTIDO POR LA DEMOCRACIA,19033538
ALEX RENE ALARCON HEIN,PARTIDO POR LA DEMOCRACIA,13645624
ALEX VARGAS MONSALVE,PARTIDO POR LA DEMOCRACIA,2571529
ALEX VATTUONE GARCES,RENOVACION NACIONAL,1784525
ALEXANDER MIRANDA ROJAS,FEDERACION REGIONALISTA VERDE SOCIAL,476000
ALEXANDER OLIVER SALIN ESPINOZA,CONVERGENCIA SOCIAL,6073215
ALEXANDRA CARRASCO ARAYA,EVOLUCION POLITICA,100000
ALEXANDRA MACHUCA NORAMBUENA,REVOLUCION DEMOCRATICA,18500534
ALEXANDRA SOLEDAD URRUTIA PLACENCIO,PARTIDO DE LA GENTE,625612
ALEXIDER ENRIQUE GONZALEZ ROSAS,RENOVACION NACIONAL,2108374
ALEXIS ALEJANDRO GONZALEZ CABEZAS,PARTIDO SOCIALISTA DE CHILE,9344776
ALEXIS CAMPAñA BRAVO,PARTIDO ECOLOGISTA VERDE,8548799
ALEXIS EDUARDO GONZALEZ PEREIRA,PARTIDO DE LA GENTE,355612
ALEXIS FERNANDO CONTRERAS REYES,N/A,2133800
ALEXIS GERMAN ORMEñO SILVA,PARTIDO DE LA GENTE,3420166
ALEXIS HOLMAN FUENTES,PARTIDO SOCIALISTA DE CHILE,3000000
ALEXIS JAVIER VICENTELO VICENTELO,UNION DEMOCRATA INDEPENDIENTE,800000
ALEXIS JEAN MARC DUBREUIL PROCHELLE,RENOVACION NACIONAL,3240000
ALEXIS MARCOS DE LOURDES VERA LOAIZA,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,216000
ALEXIS MUñOZ ESPINOSA,PARTIDO SOCIALISTA DE CHILE,14231608
ALEXIS PATRICIO CASTRO PASTENES,RENOVACION NACIONAL,2400000
ALEXIS RODRIGO WOOD ESCOBAR,EVOLUCION POLITICA,1298000
ALEXIS SEPULVEDA SOTO,PARTIDO RADICAL DE CHILE,50244800
ALFONSO BELMAR RODRIGUEZ,PARTIDO ECOLOGISTA VERDE,18044321
ALFONSO CORTES RUILOVA,PARTIDO COMUNISTA DE CHILE,788550
ALFONSO DE URRESTI LONGTON,PARTIDO SOCIALISTA DE CHILE,90792477
ALFONSO DOMINGUEZ COVARRUBIAS,UNION DEMOCRATA INDEPENDIENTE,3602450
ALFONSO ERNESTO BARRIL AGUERO,PARTIDO HUMANISTA,18171200
ALFONSO HECTOR PEREZ QUEZADA,PARTIDO RADICAL DE CHILE,500000
ALFREDO ANDRES VASQUEZ ROJAS,REVOLUCION DEMOCRATICA,1484250
ALFREDO ANTONIO BRUNA ORELLANA,PARTIDO HUMANISTA,1460000
ALFREDO CATALDO JIMENEZ,RENOVACION NACIONAL,6061286
ALFREDO EDUARDO DUGLAS ORMEñO,EVOLUCION POLITICA,869000
ALFREDO ELIZARDO ALVAREZ APAZ,PARTIDO HUMANISTA,500000
ALFREDO ENRIQUE TAPIA CONTRERAS,PARTIDO COMUNISTA DE CHILE,1480000
ALFREDO ERNESTO ECHEVERRIA MESIAS,PARTIDO PROGRESISTA DE CHILE,1607276
ALICIA CASTILLO VASSALLO,UNION DEMOCRATA INDEPENDIENTE,2866735
ALICIA DEL CARMEN VALENCIA VALENCIA,PARTIDO DEMOCRATA CRISTIANO,1070000
ALICIA ISABEL ACUñA GALLEGUILLOS,REVOLUCION DEMOCRATICA,2722580
ALICIA KAROLINA CARIQUEO NARANJO,IGUALDAD,5183337
ALICIA YAñEZ SOTO,PARTIDO POR LA DEMOCRACIA,18789676
ALIRO FABIAN DIAZ REYES,PARTIDO COMUNISTA DE CHILE,300000
ALIRO GONZALO ROJAS BEALS,PARTIDO REPUBLICANO DE CHILE,342580
ALLAN ANDRES MC KENZIE MARTINEZ,UNION DEMOCRATA INDEPENDIENTE,8312000
ALLYSON RICHASSE RUBIO,PARTIDO ECOLOGISTA VERDE,4357442
ALMENDRA VEGA AGUILERA,PARTIDO HUMANISTA,660000
ALONDRA CATERINA LIBERTAD ARELLANO HERNANDEZ,CONVERGENCIA SOCIAL,16736981
ALONSO ALEJANDRO MUñOZ PEREZ,PARTIDO RADICAL DE CHILE,6750000
ALONSO FEDERICO PUGA BRAVO,PARTIDO COMUNISTA DE CHILE,998500
ALONSO IGNACIO SALINAS GARCIA,FEDERACION REGIONALISTA VERDE SOCIAL,698000
ALONSO JAVIER RODRIGUEZ ARCE,UNION DEMOCRATA INDEPENDIENTE,1801000
ALVARO ANDRES PEREZ JORQUERA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,1220490
ALVARO ARRIAGADA GATICA,EVOLUCION POLITICA,654000
ALVARO CARTER FERNANDEZ,UNION DEMOCRATA INDEPENDIENTE,58284415
ALVARO CASTRO BENITEZ,EVOLUCION POLITICA,7453664
ALVARO EDUARDO SALAS MENA,IGUALDAD,5763042
ALVARO EMILIO PEZOA BISSIERES,PARTIDO REPUBLICANO DE CHILE,108053748
ALVARO ERAZO LATORRE,PARTIDO SOCIALISTA DE CHILE,62944989
ALVARO ESTEBAN MENDEZ VELIZ,PARTIDO COMUNISTA DE CHILE,4500000
ALVARO FABIAN VERA SALAZAR,REVOLUCION DEMOCRATICA,1850000
ALVARO GUILLERMO LAVIN ALIAGA,UNION DEMOCRATA INDEPENDIENTE,24047200
ALVARO IGNACIO MUñOZ AVILA,CENTRO UNIDO,1601396
ALVARO PACULL LIRA,CIUDADANOS,500000
ALVARO RAUL OLAVE CESPEDES,PARTIDO REPUBLICANO DE CHILE,65000
ALVARO RICARDO ALARCON SANDOVAL,RENOVACION NACIONAL,1630000
ALVARO RODRIGO ROJAS ROJAS,PARTIDO DEMOCRATA CRISTIANO,1204398
ALVARO SEBASTIAN ALVAREZ PEREZ,PARTIDO HUMANISTA,2543553
ALVARO VALENTIN SANCHEZ ROJAS,PARTIDO COMUNISTA DE CHILE,7535761
AMARILIZ JERUSALEN AROCA AROCA,PARTIDO DE LA GENTE,310612
AMARO JAMIL JESUS LABRA SEPULVEDA,PARTIDO COMUNISTA DE CHILE,24650890
AMELIA OLIVARES SAN JUAN,UNION DEMOCRATA INDEPENDIENTE,800000
AMERICA CARO BRUNA,EVOLUCION POLITICA,4317646
AMERICO EUGENIO AEDO URRA,PARTIDO DE LA GENTE,300000
ANA ARANEDA GOMEZ,PARTIDO ECOLOGISTA VERDE,17466441
ANA CECILIA RETAMAL RAMOS,PARTIDO COMUNISTA DE CHILE,14950000
ANA DEL ROSARIO MARDONES GODOY,PARTIDO DE LA GENTE,200000
ANA GALLARDO CARRASCO,PARTIDO HUMANISTA,3290000
ANA LUZ GONZALEZ PALMA,PARTIDO COMUNISTA DE CHILE,546000
ANA MAGDALENA VERA ARANCIBIA,PARTIDO COMUNISTA DE CHILE,400000
ANA MARIA ARIAS AGURTO,UNION PATRIOTICA,1661400
ANA MARIA BRAVO CASTRO,PARTIDO SOCIALISTA DE CHILE,23804091
ANA MARIA CAICHEO BARRIENTOS,PARTIDO ECOLOGISTA VERDE,1786169
ANA MARIA GAZMURI VIEIRA,COMUNES,42224464
ANA MARIA LEZCANO ZARATE,EVOLUCION POLITICA,1915470
ANA MARIA MOLINA VILLARREAL,UNION PATRIOTICA,1750200
ANA MARIA PERALTA CACERES,PARTIDO COMUNISTA DE CHILE,2970000
ANA MARIA SALAZAR GUTIERREZ,PARTIDO PROGRESISTA DE CHILE,3623531
ANA MARIA SOTO CEA,PARTIDO POR LA DEMOCRACIA,16879929
ANA MARIA TORO OJANE,PARTIDO DE LA GENTE,611792
ANA MARIA YAñEZ CORDERO,UNION DEMOCRATA INDEPENDIENTE,8619000
ANA VALESKA MUñOZ MUñOZ,FEDERACION REGIONALISTA VERDE SOCIAL,2430681
ANA VERONICA VARGAS PAILLAHUEQUE,PARTIDO DEMOCRATA CRISTIANO,1541317
ANAHIS VAXNILENA ARAUZ ARAUZ,PARTIDO POR LA DEMOCRACIA,3879000
ANAIS ANTONIA GONZALEZ GALLARDO,PARTIDO HUMANISTA,848000
ANDREA ABARCA MUñOZ,IGUALDAD,1800561
ANDREA ALEJANDRA ESTAY CAAMAñO,IGUALDAD,2246275
ANDREA BELLO CRUCES,PARTIDO POR LA DEMOCRACIA,2390000
ANDREA BERNARDITA FLORES CALDERON,CENTRO UNIDO,2619312
ANDREA CASANUEVA MURA,PARTIDO SOCIALISTA DE CHILE,2819830
ANDREA DEL CARMEN DUARTE VIDAL,PARTIDO PROGRESISTA DE CHILE,2095200
ANDREA DEL CARMEN MUñOZ ACEITUNO,PARTIDO DE LA GENTE,170313
ANDREA EDITH SILVA ALARCON,PARTIDO COMUNISTA DE CHILE,4295000
ANDREA FIGUEROA DOMINGUEZ,FEDERACION REGIONALISTA VERDE SOCIAL,1275434
ANDREA FRANCISCA GUZMAN COX,RENOVACION NACIONAL,4851110
ANDREA GUZMAN HERRERA,UNION DEMOCRATA INDEPENDIENTE,15317752
ANDREA ITURRIAGA HEWSTONE,UNION DEMOCRATA INDEPENDIENTE,3580305
ANDREA LOBOS BERNAL,FEDERACION REGIONALISTA VERDE SOCIAL,1924498
ANDREA MERINO DIAZ,PARTIDO SOCIALISTA DE CHILE,11533422
ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,19866200
ANDREA PATRICIA ARAYA TORO,PARTIDO HUMANISTA,2400000
ANDREA PEREZ CORTES,FEDERACION REGIONALISTA VERDE SOCIAL,8764431
ANDREA QUIJON GODOY,PARTIDO HUMANISTA,3050000
ANDREA ROSARIO IñIGUEZ MANSO,PARTIDO REPUBLICANO DE CHILE,5738011
ANDREA ROSSANA VALENZUELA MATUS,PARTIDO DEMOCRATA CRISTIANO,5881374
ANDREA SALDIAS MARTINEZ,PARTIDO COMUNISTA DE CHILE,4377750
ANDREA VALESKA BERRIOS VALENZUELA,IGUALDAD,2606166
ANDREA VALESKA MORALES PENROZ,PARTIDO PROGRESISTA DE CHILE,600000
ANDRES ALEJANDRO FERNANDEZ COMPAGNON,PARTIDO CONSERVADOR CRISTIANO,522032
ANDRES ALEJANDRO NADAL LAMIG,UNION DEMOCRATA INDEPENDIENTE,12217692
ANDRES ALEJANDRO SANTANA RIQUELME,UNION DEMOCRATA INDEPENDIENTE,26643426
ANDRES BOCAZ CHACON,PARTIDO ECOLOGISTA VERDE,1223516
ANDRES CARRERA OLIVEROS,PARTIDO DE LA GENTE,2306807
ANDRES CELIS MONTT,RENOVACION NACIONAL,45484644
ANDRES EDUARDO GUERRA VEGA,PARTIDO REPUBLICANO DE CHILE,9978049
ANDRES EDUARDO PALMA NAVARRETE,PARTIDO DE LA GENTE,435660
ANDRES FIDEL RIVAS GALLARDO,PARTIDO POR LA DEMOCRACIA,5615540
ANDRES HERNAN MATTA CUMINAO,RENOVACION NACIONAL,5380862
ANDRES HERNAN OVANDO ABURTO,PARTIDO DEMOCRATA CRISTIANO,800000
ANDRES JOUANNET VALDERRAMA,PARTIDO RADICAL DE CHILE,38819450
ANDRES LONGTON HERRERA,RENOVACION NACIONAL,65688775
ANDRES MARCELO PINCHEIRA STAMBUK,RENOVACION NACIONAL,1852280
ANDRES MOLINA MAGOFKE,EVOLUCION POLITICA,62069595
ANDRES NESTOR FRANCISCO LOPEZ ESPAñA,PARTIDO POR LA DEMOCRACIA,1000000
ANDRES OJEDA CARE,N/A,14977005
ANDRES PARRA SANDOVAL,PARTIDO SOCIALISTA DE CHILE,13896071
ANDRES PAVISIC FOCACCI,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,3808000
ANDRES RICARDO DUVAL GUNCKEL,PARTIDO RADICAL DE CHILE,1550000
ANDRES SAAVEDRA ARIAS,PARTIDO REPUBLICANO DE CHILE,620000
ANDRES SALOMON FELIPE MENAS CALDERON,PARTIDO DE LA GENTE,12119154
ANDRES SEPULVEDA ROJAS,PARTIDO ECOLOGISTA VERDE,8237255
ANDRES SERGIO GIORDANO SALAZAR,REVOLUCION DEMOCRATICA,6418868
ANDRO JAVIER MIMICA GUERRERO,PARTIDO SOCIALISTA DE CHILE,3290500
ANE CONTRERAS ALVAREZ,UNION DEMOCRATA INDEPENDIENTE,3016910
ANGEL ANDRES DELGADO CARDENAS,PARTIDO COMUNISTA DE CHILE,7990081
ANGEL CUSTODIO JADUE PICHARA,PARTIDO REPUBLICANO DE CHILE,6511860
ANGEL JUVENAL SOTO OLAVE,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,20000
ANGEL RODRIGO ROZAS DIAZ,PARTIDO DE LA GENTE,390500
ANGELA CABEZON CONTRERAS,FEDERACION REGIONALISTA VERDE SOCIAL,7082956
ANGELA CORTES BARRERA,PARTIDO SOCIALISTA DE CHILE,4218101
ANGELICA CID VENEGAS,PARTIDO SOCIALISTA DE CHILE,35420583
ANGELICA DEL CARMEN CUEVAS PALOMINOS,RENOVACION NACIONAL,40473485
ANGELICA ELIANA MANRIQUEZ SANTIBAñEZ,PARTIDO DE LA GENTE,2788366
ANGELICA GALLEGOS TOLEDO,PARTIDO COMUNISTA DE CHILE,1600000
ANGELICA MARCELA OLGUIN REBOLLEDO,PARTIDO COMUNISTA DE CHILE,400000
ANGELICA MARIA BASTIAS CARRASCO,PARTIDO RADICAL DE CHILE,300000
ANGELICA MARIA FILOSA URIBE,PARTIDO SOCIALISTA DE CHILE,620000
ANGELICA MARIA HENRIQUEZ FERNANDEZ,PARTIDO DE LA GENTE,1126724
ANGELICA SAN CRISTOBAL SILVA,CENTRO UNIDO,12587407
ANGELICA TERESA FLORES RODRIGUEZ,EVOLUCION POLITICA,13759988
ANGELICA VELASQUEZ PEREZ,PARTIDO RADICAL DE CHILE,5839798
ANGELINA ELIZABETH GONZALEZ CUEVAS,PARTIDO HUMANISTA,1536000
ANGELINE GALVEZ FLORES,FEDERACION REGIONALISTA VERDE SOCIAL,4780000
ANGELO CARRASCO ARIAS,PARTIDO POR LA DEMOCRACIA,1025000
ANGELO CERDA MESA,PARTIDO ECOLOGISTA VERDE,1306500
ANGIE PABLA LEMO CHANG,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,1469313
ANIBAL ANDRES NAVARRETE CARRASCO,CONVERGENCIA SOCIAL,9862876
ANIBAL SERGIO SCOPINICH VILCA,PARTIDO REPUBLICANO DE CHILE,933000
ANITA MARIA MILLA BARRIOS,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,372000
ANITA PAZ JARAMILLO GALLARDO,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,1426490
ANNIE MARIE SOFIE VAN GEIN SALAZAR,FEDERACION REGIONALISTA VERDE SOCIAL,59500
ANSELMO ALEJANDRO RAPIMAN MARIN,RENOVACION NACIONAL,2159929
ANSELMO PEñA RODRIGUEZ,RENOVACION NACIONAL,7073476
ANTARIS CATALINA VARELA COMPAGNON,PARTIDO CONSERVADOR CRISTIANO,59951783
ANTONIA DEL ROSARIO ARAYA DOMINGUEZ,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,0
ANTONIA MIYARAY JIMENEZ BORDONES,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,1250892
ANTONIA MUñOZ LARA,PARTIDO LIBERAL DE CHILE,900000
ANTONIETA SALVO ANDER FUHREN,FEDERACION REGIONALISTA VERDE SOCIAL,150000
ANTONIETA SANTA MARIA MASSERA,UNION DEMOCRATA INDEPENDIENTE,800000
ANTONIO ALEJANDRO BRADASIC SILLARD,PARTIDO SOCIALISTA DE CHILE,4020000
ANTONIO ALEJANDRO PAEZ AGUILAR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4492475
ANTONIO CARVACHO CARDENAS,FEDERACION REGIONALISTA VERDE SOCIAL,4046951
ANTONIO COLLADOS SARIEGO,EVOLUCION POLITICA,238000
ANTONIO IGNACIO ROJAS GARNICA,CENTRO UNIDO,1620500
ANTONIO IGNACIO SAAVEDRA GUTIERREZ,COMUNES,11637088
ANTONIO LOPEZ GONZALEZ,FEDERACION REGIONALISTA VERDE SOCIAL,425696
ANTONIO MORALES MORALES,IGUALDAD,2042000
ANTONIO PASCUAL RISPOLI GINER,RENOVACION NACIONAL,3015000
ANTONIO PRADO BETANZO,PARTIDO RADICAL DE CHILE,1001002
ANTONIO STUARDO PINEDA,PARTIDO CONSERVADOR CRISTIANO,4346911
ANWAR FARRAN VELOSO,PARTIDO LIBERAL DE CHILE,19541158
AQUILES CARVAJAL ARAYA,PARTIDO COMUNISTA DE CHILE,7564701
ARACELI ANTONIETA MARTINEZ AVALOS,RENOVACION NACIONAL,2493782
ARIANA ROMINA VALENZUELA QUIPALLAN,RENOVACION NACIONAL,1215000
ARIEL HERNAN VALENZUELA FUENZALIDA,FEDERACION REGIONALISTA VERDE SOCIAL,2729630
ARIEL IGNACIO MIRANDA VALLEJOS,UNION DEMOCRATA INDEPENDIENTE,7333146
ARIEL MARCHIONI BOWEN,PARTIDO ECOLOGISTA VERDE,2229857
ARIEL MAURICIO MUñOZ MORALES,RENOVACION NACIONAL,3051400
ARIEL VLADIMIR ENCINA CRUZ,IGUALDAD,1600000
ARIELLE VALENTINA VARAS VILLALON,PARTIDO COMUNISTA DE CHILE,9693150
ARLINE VIRTUD ORO AVALOS,PARTIDO COMUNISTA DE CHILE,4536000
ARMIN OCTAVIO FUENTES ULLOA,PARTIDO POR LA DEMOCRACIA,2200453
ARNALDO ANDRES ESPINOZA AVILA,EVOLUCION POLITICA,100000
ARNALDO ARANCIBIA RAMOGNINI,EVOLUCION POLITICA,987725
ARNOLD SCHIRMER PRIETO,UNION DEMOCRATA INDEPENDIENTE,1500000
ARNOLDO MANUEL JIMENEZ VENEGAS,PARTIDO RADICAL DE CHILE,14498864
ARNOLDO ñANCULEF HUAIQUINAO,FEDERACION REGIONALISTA VERDE SOCIAL,4424035
ARTURO BERNARDO GRANDON ARREDONDO,PARTIDO REPUBLICANO DE CHILE,5558208
