NOMBRE DEL CANDIDATO,NOMBRE PARTIDO, MONTO 
LLACOLEN MILLAQUIR PEñA,EVOLUCION POLITICA," 400,000 "
LLACOLEN MILLAQUIR PEñA,EVOLUCION POLITICA," 300,000 "
LLACOLEN MILLAQUIR PEñA,EVOLUCION POLITICA," 1,440,000 "
LLACOLEN MILLAQUIR PEñA,EVOLUCION POLITICA," 500,000 "
LLACOLEN MILLAQUIR PEñA,EVOLUCION POLITICA," 500,000 "
LLACOLEN MILLAQUIR PEñA,EVOLUCION POLITICA," 550,000 "
LLINO GONZALEZ QUEZADA,UNION DEMOCRATA INDEPENDIENTE," 1,000,000 "
LLINO GONZALEZ QUEZADA,UNION DEMOCRATA INDEPENDIENTE," 500,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 50,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 800,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 50,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 1,200,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 200,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 42,840 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 1,500,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 1,000,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 7,215,620 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 100,000 "
LOMBARDO VLADIMIR TOLEDO ESCORZA,PARTIDO DEMOCRATA CRISTIANO," 1,300,000 "
LORENA ANDREA ALARCON JACQUE,EVOLUCION POLITICA," 100,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 100,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 50,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 100,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 20,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 100,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 638,453 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 20,000 "
LORENA ANDREA MUSSA VALENZUELA,PARTIDO COMUNISTA DE CHILE," 50,000 "
LORENA BUSTAMANTE MEDINA,PARTIDO RADICAL DE CHILE," 500,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 15,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 1,132,732 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 100,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 40,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 2,000,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 50,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 380,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 500,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 300,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 250,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 360,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 200,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 200,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 5,210,977 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 1,050,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 474,810 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 476,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA, - 
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA, - 
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 232,050 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 1,000,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 1,500,000 "
LORENA CECILIA DONAIRE CATALDO,REVOLUCION DEMOCRATICA," 50,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 416,500 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 1,755,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 215,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 230,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 812,500 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 2,000,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 187,500 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 1,000,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 178,500 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 1,500,000 "
LORENA DE LA PAZ BERRIOS GONZALEZ,RENOVACION NACIONAL," 1,827,250 "
LORENA DEL CARMEN LLAMIN MILLALEN,PARTIDO DE LA GENTE," 119,000 "
LORENA DEL CARMEN LLAMIN MILLALEN,PARTIDO DE LA GENTE," 35,700 "
LORENA DEL CARMEN LLAMIN MILLALEN,PARTIDO DE LA GENTE," 228,150 "
LORENA DEL CARMEN VARGAS VIDAL,PARTIDO POR LA DEMOCRACIA," 60,000 "
LORENA DEL CARMEN VARGAS VIDAL,PARTIDO POR LA DEMOCRACIA," 138,550 "
LORENA DEL CARMEN VARGAS VIDAL,PARTIDO POR LA DEMOCRACIA," 400,000 "
LORENA DEL CARMEN VARGAS VIDAL,PARTIDO POR LA DEMOCRACIA," 50,000 "
LORENA DEL PILAR VENTURA VASQUEZ,RENOVACION NACIONAL," 1,215,000 "
LORENA DEL PILAR VENTURA VASQUEZ,RENOVACION NACIONAL," 150,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL, - 
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 6,288,270 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 50,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 3,877,105 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 1,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 150,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 50,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 50,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 35,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 100,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 250,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 80,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 100,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 300,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 50,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 100,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 100,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 60,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 50,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 100,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 2,000,000 "
LORENA FRIES MONLEON,CONVERGENCIA SOCIAL," 250,000 "
